"index","bt","k","d","su","sv","p","pet_smd_perc_non_conv","pet_tr_smd_perc_non_conv","peese_smd_perc_non_conv","peese_tr_smd_perc_non_conv","pet_int_smd_perc_z3","pet_int_tr_smd_perc_z3","pet_slope_smd_perc_z3","pet_slope_tr_smd_perc_z3","peese_int_smd_perc_z3","peese_int_tr_smd_perc_z3","peese_slope_smd_perc_z3","peese_slope_tr_smd_perc_z3","corrected_smd_perc_z3","corrected_tr_smd_smd_perc_z3"
131,"pb_no_orb_no",30,0,0.11,0.06,"medium",0,0,0,0,0.4,0.5,0.4,0.6,0.2,0.6,0.3,0.8,0.4,0.6
132,"pb_no_orb_no",30,0,0.11,0.06,"large",0,0,0,0,0.3,0.6,0.6,0.6,0.2,0.4,0.6,0.7,0.2,0.2
133,"pb_no_orb_no",30,0,0.11,0.11,"small",0,0,0,0,0.7,0.6,0.4,0.4,0.8,0.6,0.5,0.6,0.2,0.4
134,"pb_no_orb_no",30,0,0.11,0.11,"medium",0,0,0,0,0.4,0.7,0.4,0.6,0.2,0.6,0.4,0.8,0.3,0.7
135,"pb_no_orb_no",30,0,0.11,0.11,"large",0,0,0,0,0.4,0.6,0.6,0.6,0.4,0.5,0.6,0.7,0.3,0.3
136,"pb_no_orb_no",30,0.2,0.01,0.01,"small",0.5,0,0.5,0.2,0.8,0.7,0.5,0.9,0.8,0.6,0.7,0.8,0.7,1
137,"pb_no_orb_no",30,0.2,0.01,0.01,"medium",0.1,0,0.1,0,0.5,0.3,0.2,0.2,0.5,0.4,0.1,0.3,0.3,0.6
138,"pb_no_orb_no",30,0.2,0.01,0.01,"large",0,0,0,0,0.4,0.4,0.4,0.4,0.5,0.6,0.4,0.5,0.3,0.7
139,"pb_no_orb_no",30,0.2,0.01,0.06,"small",0,0.2,0,0.2,0.6,0.7,0.7,0.7,0.8,0.7,0.9,1,0.5,0.6
140,"pb_no_orb_no",30,0.2,0.01,0.06,"medium",0,0,0,0,0.6,0.5,0.4,0.4,0.5,0.7,0.4,0.4,0.5,0.7
141,"pb_no_orb_no",30,0.2,0.01,0.06,"large",0,0,0,0,0.5,0.4,0.5,0.6,0.6,0.6,0.6,0.7,0.5,0.5
